sessdef,variable,outcome,n,model,coef_std,ci_lo,ci_hi,p_cluster,bh_rank,bh_crit,survives_BH05
BROKER,A_close_loc,seq_low_first,475,logit,0.09731225669649671,-0.16936837771462077,0.37162852132921526,0.49666666666666665,50.0,0.02976190476190476,False
BROKER,A_close_loc,dn60_atr,475,ols,-0.007654522168903429,-0.02198385097545167,0.0063846638079786515,0.31,37.0,0.022023809523809525,False
BROKER,A_close_loc,net60_atr,475,ols,-0.012318633672355564,-0.03288766717949854,0.008611652017009775,0.24,31.0,0.018452380952380953,False
BROKER,A_close_loc,ret_close_atr,475,ols,-0.09820968530358039,-0.18372707349961423,-0.005261503625721962,0.03666666666666667,7.0,0.0041666666666666675,False
BROKER,A_close_loc,mfe_down_atr,475,ols,0.03748135018840856,-0.030580644753340432,0.10792907230946021,0.25333333333333335,34.0,0.02023809523809524,False
BROKER,A_bear,touch_Blow,475,logit,0.06339482926705771,-0.20401921137015783,0.3285706964243975,0.6066666666666667,62.0,0.036904761904761905,False
BROKER,A_bear,seq_low_first,475,logit,0.10490919724830197,-0.14153598630011255,0.415983381460875,0.35,41.0,0.024404761904761908,False
BROKER,A_bear,dn60_atr,475,ols,0.009161590321081603,-0.005422076656569837,0.021342804543876215,0.19,28.0,0.01666666666666667,False
BROKER,A_bear,net60_atr,475,ols,0.021794055658028957,-0.002971029698061427,0.04441151489010129,0.06,10.0,0.005952380952380952,False
BROKER,A_bear,ret_close_atr,475,ols,-0.0278420583053774,-0.10920792275005868,0.057521831281357,0.5466666666666666,53.0,0.031547619047619054,False
BROKER,A_bear,mfe_down_atr,475,ols,0.05348150170011297,0.0005511954412437182,0.11173774388481075,0.05,9.0,0.005357142857142857,False
BROKER,fri_high_before_low,touch_Blow,475,logit,-0.024178257469967507,-0.297065573773753,0.23848725015510858,0.89,81.0,0.04821428571428571,False
BROKER,fri_high_before_low,seq_low_first,475,logit,0.05166414242967178,-0.259124980859981,0.3063436691399715,0.7833333333333333,73.0,0.04345238095238096,False
BROKER,fri_high_before_low,dn60_atr,475,ols,0.01119426896044095,-0.003463964273651684,0.026391313024831924,0.1,12.0,0.0071428571428571435,False
BROKER,fri_high_before_low,net60_atr,475,ols,0.02201082820451802,0.000774024653960902,0.04484446345452605,0.04666666666666667,8.0,0.004761904761904762,False
BROKER,fri_high_before_low,ret_close_atr,475,ols,-0.020886855135277844,-0.12030626529238635,0.08008927695487145,0.5766666666666667,57.0,0.03392857142857143,False
BROKER,fri_high_before_low,mfe_down_atr,475,ols,0.0229485595725093,-0.03351966199328985,0.07591281851118352,0.43666666666666665,46.0,0.027380952380952384,False
BROKER,fri_first_hour_range_atr,touch_Blow,475,logit,-0.004603241701857328,-0.3173445732887626,0.2833822909141308,0.9833333333333333,84.0,0.05,False
BROKER,fri_first_hour_range_atr,seq_low_first,475,logit,0.04691570952565848,-0.36471644436637113,0.3499662451523868,0.83,78.0,0.04642857142857143,False
BROKER,fri_first_hour_range_atr,dn60_atr,475,ols,0.02238580935281926,-0.0022799929221957982,0.05455252523098837,0.09666666666666666,11.0,0.006547619047619048,False
BROKER,fri_first_hour_range_atr,net60_atr,475,ols,-0.0016973325264349472,-0.03630717797749695,0.03803455216434894,0.8233333333333334,76.0,0.045238095238095244,False
BROKER,fri_first_hour_range_atr,ret_close_atr,475,ols,0.045717216855431383,-0.1078339407892537,0.2058455784141098,0.5433333333333333,52.0,0.030952380952380953,False
BROKER,fri_first_hour_range_atr,mfe_down_atr,475,ols,0.023234740908272083,-0.07115573884380905,0.1239597682323322,0.6166666666666667,64.0,0.0380952380952381,False
BROKER,open_to_Blow_atr,touch_Blow,475,logit,-1.966918841449138,-2.8007300693694286,-1.3996738967178506,0.0,2.0,0.0011904761904761906,True
BROKER,open_to_Blow_atr,seq_low_first,475,logit,-2.7975058100676806,-4.275534063654777,-2.069580381242745,0.0,3.0,0.0017857142857142859,True
BROKER,open_to_Blow_atr,dn60_atr,475,ols,-0.021272076600382703,-0.04894680065266139,0.0042781103386093184,0.12,15.0,0.008928571428571428,False
BROKER,open_to_Blow_atr,net60_atr,475,ols,-0.006150321686575307,-0.03745325960884482,0.03239180731125613,0.74,67.0,0.039880952380952385,False
BROKER,open_to_Blow_atr,ret_close_atr,475,ols,-0.10585895067956366,-0.2839365153016534,0.08978849659652006,0.3333333333333333,39.0,0.023214285714285715,False
BROKER,open_to_Blow_atr,mfe_down_atr,475,ols,-0.0669288482859968,-0.1734675057519562,0.030882177653707273,0.18,24.0,0.014285714285714287,False
